register_date,accept_date,cancel_date,active,activity_sector,uf,life_days,register_year,cancel_year
1977-07-20,INEXISTENTE,1995-11-06,0,BANCOS,SP,6676,1977,1995
1977-07-20,INEXISTENTE,1998-06-12,0,BANCOS,RJ,7627,1977,1998
2008-03-07,1988-03-31,INEXISTENTE,1,BANCOS,SP,3893,2008,INEXISTENTE
2007-07-10,1967-03-28,INEXISTENTE,1,BANCOS,SP,4135,2007,INEXISTENTE
2018-04-26,2017-10-09,INEXISTENTE,1,BANCOS,MG,194,2018,INEXISTENTE
1977-07-20,INEXISTENTE,1996-03-08,0,BANCOS,SP,6803,1977,1996
1977-07-20,1967-07-28,2003-08-29,0,BANCOS,SP,9529,1977,2003
1981-05-29,1978-01-12,2007-11-07,0,BANCOS,SP,9648,1981,2007
1977-07-20,1940-01-01,INEXISTENTE,1,BANCOS,MG,15075,1977,INEXISTENTE
1977-07-20,1971-03-26,INEXISTENTE,1,BANCOS,MG,15075,1977,INEXISTENTE
1977-07-20,1938-11-26,2003-09-30,0,BANCOS,SP,9560,1977,2003
1977-07-20,1944-02-03,INEXISTENTE,1,BANCOS,SP,15075,1977,INEXISTENTE
2005-10-14,1917-01-01,2009-11-30,0,BANCOS,SP,1506,2005,2009
2007-11-12,1991-01-01,INEXISTENTE,1,BANCOS,SP,4013,2007,INEXISTENTE
2007-03-27,1997-05-01,INEXISTENTE,1,BANCOS,SP,4238,2007,INEXISTENTE
2008-04-29,1968-09-12,INEXISTENTE,1,BANCOS,PR,3841,2008,INEXISTENTE
1977-07-20,INEXISTENTE,2000-04-28,0,BANCOS,SP,8313,1977,2000
1977-07-20,INEXISTENTE,1990-12-27,0,BANCOS,SP,4902,1977,1990
2007-03-02,1985-08-09,INEXISTENTE,1,BANCOS,SP,4263,2007,INEXISTENTE
1977-07-20,INEXISTENTE,1999-06-30,0,BANCOS,SP,8010,1977,1999
1977-07-20,INEXISTENTE,1992-12-16,0,,SP,5621,1977,1992
2007-04-26,1961-02-17,2016-11-24,0,BANCOS,SP,3493,2007,2016
1977-07-20,1949-01-01,2007-05-25,0,BANCOS,SP,10895,1977,2007
1977-07-20,INEXISTENTE,1990-08-09,0,BANCOS,SP,4764,1977,1990
1983-08-08,1970-11-03,2003-11-18,0,ARRENDAMENTO MERCANTIL,SP,7400,1983,2003
1996-06-25,INEXISTENTE,2000-06-20,0,ARRENDAMENTO MERCANTIL,BA,1455,1996,2000
1984-10-29,INEXISTENTE,2001-02-22,0,ARRENDAMENTO MERCANTIL,PR,5958,1984,2001
1977-07-20,INEXISTENTE,1989-09-12,0,BANCOS,PR,4432,1977,1989
1995-12-15,1993-10-15,2005-03-01,0,ARRENDAMENTO MERCANTIL,ES,3366,1995,2005
1977-07-20,1936-06-17,INEXISTENTE,1,BANCOS,ES,15075,1977,INEXISTENTE
1977-07-20,1965-10-25,2007-11-14,0,INTERMEDIAÇÃO FINANCEIRA,SP,11064,1977,2007
1977-07-20,1966-09-13,2007-01-09,0,BANCOS,SP,10759,1977,2007
1977-07-20,INEXISTENTE,1989-12-14,0,,SP,4524,1977,1989
1997-10-07,1995-12-01,2004-01-26,0,BANCOS,SP,2304,1997,2004
1972-01-27,INEXISTENTE,1990-08-09,0,BANCOS,PE,6762,1972,1990
1977-07-20,INEXISTENTE,1990-08-09,0,BANCOS,PE,4764,1977,1990
1977-07-20,INEXISTENTE,1990-08-09,0,CRÉDITO IMOBILIÁRIO,PE,4764,1977,1990
1992-05-12,1974-10-17,2006-07-18,0,ARRENDAMENTO MERCANTIL,PE,5176,1992,2006
1996-10-18,1953-11-12,INEXISTENTE,1,Serviços Transporte e Logística,RS,8052,1996,INEXISTENTE
2018-09-27,1969-07-02,INEXISTENTE,1,BANCOS,RS,43,2018,INEXISTENTE
1995-11-29,2005-09-10,2010-12-17,0,BANCOS,RS,5493,1995,2010
1980-10-01,INEXISTENTE,1993-06-17,0,TEXTIL E VESTUÁRIO,BA,4641,1980,1993
1984-10-30,1965-12-21,2010-01-04,0,Emp. Adm. Part. - Sem Setor Principal,PE,9194,1984,2010
1971-11-26,INEXISTENTE,2005-03-22,0,"Máquinas, Equipamentos, Veículos e Peças",SP,12166,1971,2005
1969-11-26,1911-02-11,INEXISTENTE,1,"Máquinas, Equipamentos, Veículos e Peças",SP,17869,1969,INEXISTENTE
